İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Semt,Mahalle,Fiyat
67759-3226,11 Gün Önce,Satılık,Daire,3 + 1,115 m2,3. Kat,7 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Evet,Mamak,Cengizhan,315.000 TL
114427-78,24 Gün Önce,Satılık,Daire,3 + 1,160 m2,3. Kat,3 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat Mülkiyeti,30 TL,Evet,Etimesgut,Alsancak,350.000 TL
6788-22674,13 Gün Önce,Satılık,Daire,4 + 1,160 m2,1. Kat,16 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,50 TL,Evet,Çankaya,Mürsel Uluç,395.000 TL
57012-5528,12 Gün Önce,Satılık,Daire,4 + 1,220 m2,10. Kat,1 Yaşında,Merkezi,23 Katlı,Uygun,Eşyalı Değil,2,Betonarme,,Boş,Kat Mülkiyeti,800 TL,Hayır,Çankaya,Çayyolu,2.595.000 TL
122298-34,13 Gün Önce,Satılık,Daire,3 + 1,135 m2,2. Kat,37 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,40 TL,Hayır,Keçiören,Şenlik,369.000 TL
2703-17639,12 Gün Önce,Satılık,Daire,3 + 1,165 m2,1. Kat,5 Yaşında,Kombi,11 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Pursaklar,Merkez,435.000 TL
120171-212,8 Gün Önce,Satılık,Daire,3 + 1,115 m2,2. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,20 TL,Hayır,Sincan,Akşemsettin,189.000 TL
114617-155,4 Gün Önce,Satılık,Daire,3 + 1,125 m2,1. Kat,30 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,30 TL,Hayır,Keçiören,Şefkat,350.000 TL
118808-358,8 Gün Önce,Satılık,Daire,2 + 1,105 m2,1. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Hayır,Keçiören,Ayvalı,315.000 TL
118304-315,7 Gün Önce,Satılık,Daire,4 + 1,210 m2,12. Kat,Sıfır Bina,Merkezi (Pay Ölçer),17 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,Keçiören,Ovacık,680.000 TL
4480-20788,7 Gün Önce,Satılık,Daire,4 + 1,195 m2,5. Kat,2 Yaşında,Merkezi (Pay Ölçer),14 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,,Hayır,Pursaklar,Mimar Sinan,649.000 TL
16761-28057,13 Gün Önce,Satılık,Daire,3 + 1,120 m2,2. Kat,19 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,30 TL,Evet,Çankaya,Sokullu Mehmet Paşa,419.000 TL
116916-491,20 Gün Önce,Satılık,Daire,2 + 1,100 m2,Kot 2,2 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Mamak,Yeşilbayır,175.000 TL
121128-184,28 Gün Önce,Satılık,Daire,2 + 1,100 m2,Bahçe Katı,4 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Mamak,Çağlayan,181.000 TL
121699-141,14 Gün Önce,Satılık,Daire,2 + 1,130 m2,1. Kat,5 Yaşında,Kombi,10 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Evet,Keçiören,Ayvalı,255.000 TL
7433-4128,13 Gün Önce,Satılık,Daire,4 + 1,180 m2,2. Kat,35 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Ev Sahibi Oturuyor,Kat Mülkiyeti,600 TL,Hayır,Çankaya,Remzi Oğuz Arık,1.075.000 TL
31522-12361,11 Gün Önce,Satılık,Daire,6 + 1,280 m2,3. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Evet,Keçiören,Ayvalı,690.000 TL
64542-12354,8 Gün Önce,Satılık,Bina,3 + 1,130 m2,,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,30 TL,Evet,Keçiören,Yükseltepe,229.000 TL
56586-2402,14 Gün Önce,Satılık,Daire,3 + 1,135 m2,4. Kat,4 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Keçiören,Ayvalı,295.000 TL
37640-6763,8 Gün Önce,Satılık,Daire,3 + 1,130 m2,Kot 1,7 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,30 TL,Hayır,Etimesgut,Piyade,208.000 TL
96259-368,8 Gün Önce,Satılık,Daire,2 + 1,95 m2,Yüksek Giriş,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,20 TL,,Yenimahalle,Gazi,305.000 TL
36828-3479,Bugün,Satılık,Daire,4 + 1,185 m2,2. Kat,Sıfır Bina,Merkezi (Pay Ölçer),10 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Etimesgut,Bağlıca,980.000 TL
