İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Yetkili Ofis,Semt,Mahalle,Fiyat
29364-19504,Bugün,Satılık,Daire,3 + 1,"
                          125 m2
                        ",3. Kat,14 Yaşında,Kombi,11 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,240 TL,Hayır,"Kuzey, Doğu",,Doğalgaz,Evet,Etimesgut,Tunahan,580.000 TL
2703-17977,Bugün,Satılık,Daire,4 + 1,"
                          200 m2
                        ",11. Kat,Sıfır Bina,Merkezi (Pay Ölçer),12 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,"Güney, Batı",,Doğalgaz,Evet,Pursaklar,Mimar Sinan,1.350.000 TL
3466-1720,Bugün,Satılık,Villa,5 + 1,"
                          250 m2
                        ",,18 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,,250 TL,Hayır,,,Doğalgaz,Evet,Çankaya,Yaşamkent,2.050.000 TL
18510-18877,Bugün,Satılık,Daire,3 + 1,"
                          165 m2
                        ",1. Kat,3 Yaşında,Kombi,7 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Evet,,,Doğalgaz,Evet,Pursaklar,Merkez,510.000 TL
121794-207,Bugün,Satılık,Daire,4 + 1,"
                          175 m2
                        ",6. Kat,7 Yaşında,Merkezi (Pay Ölçer),15 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,300 TL,Hayır,"Güney, Batı",3.000 TL,Doğalgaz,Evet,Yenimahalle,Turgut Özal,940.000 TL
93675-788,Bugün,Satılık,Daire,3 + 1,"
                          115 m2
                        ",3. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,,,Evet,"Güney, Batı",,Doğalgaz,Evet,Mamak,Bahçelerüstü,270.000 TL
122878-187,Bugün,Satılık,Daire,3 + 1,"
                          140 m2
                        ",Ara Kat,20 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,250 TL,Evet,,4.000 TL,Doğalgaz,Evet,Çankaya,İlkadım,645.000 TL
3918-3944,Bugün,Satılık,Villa,9 + 3,"
                          600 m2
                        ",,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,5,Betonarme,İkinci El,Belirtilmemiş,,,,,,Doğalgaz,Evet,Gölbaşı,İncek,6.200.000 TL
111749-625,Bugün,Satılık,Daire,4 + 1,"
                          200 m2
                        ",1. Kat,5 Yaşında,Merkezi,8 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,170 TL,Hayır,"Güney, Doğu",3.000 TL,Doğalgaz,Evet,Yenimahalle,Turgut Özal,810.000 TL
4070-1367,Bugün,Satılık,Daire,3 + 1,"
                          120 m2
                        ",Kot 1,40 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,300 TL,Hayır,Güney,,Doğalgaz,Evet,Çankaya,Güvenevler,415.000 TL
5554-4234,Bugün,Satılık,Daire,4 + 1,"
                          210 m2
                        ",3. Kat,2 Yaşında,Merkezi,17 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,850 TL,Hayır,"Kuzey, Doğu",10.000 TL,Doğalgaz,Evet,Çankaya,Mutlukent,2.650.000 TL
39997-4123,Bugün,Satılık,Daire,2 + 1,"
                          129 m2
                        ",3. Kat,9 Yaşında,Merkezi (Pay Ölçer),14 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,,350 TL,Hayır,"Kuzey, Batı",,Doğalgaz,Evet,Çankaya,Yaşamkent,790.000 TL
123094-386,Bugün,Satılık,Daire,2 + 1,"
                          95 m2
                        ",Giriş Katı,3 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,,,Hayır,Güney,,Doğalgaz,Evet,Mamak,Misket,203.000 TL
4005-171,Bugün,Satılık,Daire,6 + 1,"
                          285 m2
                        ",Teras Katı,10 Yaşında,Kat Kaloriferi,5 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Hayır,"Güney, Doğu, Batı",1.500 TL,Doğalgaz,Evet,Etimesgut,Topçu,480.000 TL
19258-3869,Bugün,Satılık,Müstakil Ev,5 + 2,"
                          180 m2
                        ",,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,,15 TL,Hayır,"Güney, Doğu, Batı",,Doğalgaz,Evet,Yenimahalle,Uğur Mumcu,575.000 TL
9595-1691,Bugün,Satılık,Daire,2 + 1,"
                          85 m2
                        ",Bahçe Katı,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,25 TL,Hayır,"Kuzey, Güney",1.200 TL,Doğalgaz,Evet,Çankaya,Emek,290.000 TL
